Rank,Name,Ticker,Sector,Industry,Revenue,Profit
144,Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research,20918,2225
145,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General,20776,1007
146,Halliburton,HAL,Energy,Oil & Gas Equipment & Services,20620,-463
147,Tenet Healthcare,THC,Healthcare,Medical Care Facilities,20613,-704
148,Lear,LEA,Consumer Cyclical,Auto Parts,20467,1313.4
149,Cummins,CMI,Industrials,Specialty Industrial Machinery,20428,999
150,Micron Technology,MU,Technology,Semiconductors,20322,5089
151,Nucor,NUE,Basic Materials,Steel,20252.4,1318.7
152,Molina Healthcare,MOH,Healthcare,Healthcare Plans,19883,-512
153,Fluor,FLR,Industrials,Engineering & Construction,19521,191.4
154,Altria Group,MO,Consumer Defensive,Tobacco,19494,10222
155,Paccar,PCAR,Industrials,Farm & Heavy Construction Machinery,19456.4,1675.2
156,Hartford Financial Services,HIG,Financial Services,Insurance - Property & Casualty,19228,-3131
157,Kohl’s,KSS,Consumer Cyclical,Department Stores,19095,859
158,Western Digital,WDC,Technology,Computer Hardware,19093,397
159,Jabil,JBL,Technology,Electronic Components,19063.1,129.1
160,Community Health Systems,CYH,Healthcare,Medical Care Facilities,18477,-2459
161,Visa,V,Financial Services,Credit Services,18358,6699
162,Danaher,DHR,Healthcare,Diagnostics & Research,18329.7,2492.1
163,Kimberly-Clark,KMB,Consumer Defensive,Household & Personal Products,18259,2278
164,AECOM,ACM,Industrials,Engineering & Construction,18203.4,339.4
165,PNC Financial Services,PNC,Financial Services,Banks - Regional,18035,5338
166,CenturyLink,,Communication Services,,17656,1389
167,NextEra Energy,NEE,Utilities,Utilities - Regulated Electric,17195,5378
168,PG&E Corp.,PCG,Utilities,Utilities - Regulated Electric,17135,1646
169,Synnex,SNX,Technology,Electronics & Computer Distribution,17045.7,301.2
170,WellCare Health Plans,,Healthcare,,17007.2,373.7
171,Performance Food Group,PFGC,Consumer Defensive,Food Distribution,16761.8,96.3
172,Sears Holdings,SHLDQ,Consumer Cyclical,,16702,-383
173,Synchrony Financial,SYF,Financial Services,Credit Services,16695,1935
174,CarMax,KMX,Consumer Cyclical,Auto & Truck Dealerships,16637.1,627
175,Bank of New York Mellon,BK,Financial Services,Asset Management,16621,4090
176,Freeport-McMoRan,FCX,Basic Materials,Copper,16416,1817
177,Genuine Parts,GPC,Consumer Cyclical,Specialty Retail,16308.8,616.8
178,Emerson Electric,EMR,Industrials,Specialty Industrial Machinery,16301,1518
179,DaVita,DVA,Healthcare,Medical Care Facilities,16038.2,663.6
180,Supervalu,SVU,Consumer Defensive,,16009,650
181,Gap,GPS,Consumer Cyclical,Apparel Retail,15855,848
182,General Mills,GIS,Consumer Defensive,Packaged Foods,15619.8,1657.5
183,Nordstrom,JWN,Consumer Cyclical,Department Stores,15478,437
184,Colgate-Palmolive,CL,Consumer Defensive,Household & Personal Products,15454,2024
185,American Electric Power,AEP,Utilities,Utilities - Regulated Electric,15424.9,1912.6
186,XPO Logistics,XPO,Industrials,Trucking,15380.8,340.2
187,Goodyear Tire & Rubber,GT,Consumer Cyclical,Auto Parts,15377,346
188,Omnicom Group,OMC,Communication Services,Advertising Agencies,15273.6,1088.4
189,CDW,CDW,Technology,Information Technology Services,15191.5,523
190,Sherwin-Williams,SHW,Basic Materials,Specialty Chemicals,14983.8,1772.3
191,PPG Industries,PPG,Basic Materials,Specialty Chemicals,14967,1591
192,Texas Instruments,TXN,Technology,Semiconductors,14961,3682
193,C.H. Robinson Worldwide,CHRW,Industrials,Integrated Freight & Logistics,14869.4,504.9
194,WestRock,WRK,Consumer Cyclical,Packaging & Containers,14859.7,708.2
195,Cognizant Technology Solutions,CTSH,Technology,Information Technology Services,14810,1504
196,Newell Brands,NWL,Consumer Defensive,Household & Personal Products,14742.2,2748.8
197,CBS,PARA,Communication Services,Entertainment,14710,357
198,Envision Healthcare,EVHC,Healthcare,,14700.5,-228
199,Monsanto,MON,Basic Materials,,14640,2260
200,Aramark,ARMK,Industrials,Specialty Business Services,14604.4,373.9
201,Applied Materials,AMAT,Technology,Semiconductor Equipment & Materials,14537,3434
202,Waste Management,WM,Industrials,Waste Management,14485,1949
203,DISH Network,DISH,Communication Services,,14391.4,2098.7
204,Illinois Tool Works,ITW,Industrials,Specialty Industrial Machinery,14314,1687
205,Lincoln National,LNC,Financial Services,Insurance - Life,14257,2079
206,HollyFrontier,HFC,Energy,,14251.3,805.4
207,CBRE Group,CBRE,Real Estate,Real Estate Services,14209.6,691.5
208,Textron,TXT,Industrials,Aerospace & Defense,14198,307
209,Ross Stores,ROST,Consumer Cyclical,Apparel Retail,14134.7,1362.8
210,Principal Financial,PFG,Financial Services,Asset Management,14093.2,2310.4
211,D.R. Horton,DHI,Consumer Cyclical,Residential Construction,14091,1038.4
212,Marsh & McLennan,MMC,Financial Services,Insurance Brokers,14024,1492
213,Devon Energy,DVN,Energy,Oil & Gas E&P,13949,898
214,AES,AES,Utilities,Utilities - Diversified,13850,-1161
215,Ecolab,ECL,Basic Materials,Specialty Chemicals,13838.3,1508.4
216,Land O’Lakes,,Consumer Defensive,,13740.4,314.2
217,Loews,L,Financial Services,Insurance - Property & Casualty,13735,1164
218,Kinder Morgan,KMI,Energy,Oil & Gas Midstream,13705,183
219,FirstEnergy,FE,Utilities,Utilities - Regulated Electric,13627,-1724
220,Occidental Petroleum,OXY,Energy,Oil & Gas E&P,13274,1311
221,Viacom,,Communication Services,,13263,1874
222,PayPal Holdings,PYPL,Financial Services,Credit Services,13094,1795
223,NGL Energy Partners,NGL,Energy,Oil & Gas Midstream,13022.2,137
224,Celgene,BMY,Healthcare,Drug Manufacturers - General,13003,2940
225,Arconic,ARNC,Industrials,,12960,-74
226,Kellogg,K,Consumer Defensive,Packaged Foods,12923,1269
227,Las Vegas Sands,LVS,Consumer Cyclical,Resorts & Casinos,12882,2806
228,Stanley Black & Decker,SWK,Industrials,Tools & Accessories,12747.2,1226
229,Booking Holdings,BKNG,Consumer Cyclical,Travel Services,12681.1,2340.8
230,Lennar,LEN,Consumer Cyclical,Residential Construction,12646.4,810.5
231,L Brands,LB,Consumer Cyclical,,12632.4,983
232,DTE Energy,DTE,Utilities,Utilities - Regulated Electric,12607,1134
233,Dominion Energy,D,Utilities,Utilities - Regulated Electric,12586,2999
234,Reinsurance Group of America,RGA,Financial Services,Insurance - Reinsurance,12515.8,1822.2
235,J.C. Penney,,Consumer Cyclical,,12506,-116
236,Mastercard,MA,Financial Services,Credit Services,12497,3915
237,BlackRock,BLK,Financial Services,Asset Management,12491,4970
238,Henry Schein,HSIC,Healthcare,Medical Distribution,12461.5,406.3
239,Guardian Life Ins. Co. of America,,Financial Services,,12454.5,455.3
240,Stryker,SYK,Healthcare,Medical Devices,12444,1020
241,Jefferies Financial Group,JEF,Financial Services,Capital Markets,12407.9,171.7
242,VF,VFC,Consumer Cyclical,Apparel Manufacturing,12399.6,614.9
243,ADP,ADP,Industrials,Staffing & Employment Services,12379.8,1733.4
244,Edison International,EIX,Utilities,Utilities - Regulated Electric,12320,565
245,Biogen,BIIB,Healthcare,Drug Manufacturers - General,12273.9,2539.1
246,United States Steel,X,Basic Materials,Steel,12250,387
247,Core-Mark Holding,,Consumer Defensive,,12225,33.5
248,Bed Bath & Beyond,BBBY,Consumer Cyclical,,12215.8,685.1
249,Oneok,OKE,Energy,Oil & Gas Midstream,12173.9,387.8
250,BB&T Corp.,,Financial Services,,12156,2394
251,Becton Dickinson,BDX,Healthcare,Medical Instruments & Supplies,12093,1100
252,Ameriprise Financial,AMP,Financial Services,Asset Management,12075,1480
253,Farmers Insurance Exchange,,Financial Services,,12071.8,-65.4
254,First Data,FDC,Financial Services,,12052,1465
255,Consolidated Edison,ED,Utilities,Utilities - Regulated Electric,12033,1525
256,Parker-Hannifin,PH,Industrials,Specialty Industrial Machinery,12029.3,983.4
257,Anadarko Petroleum,APC,Energy,,11908,-456
258,Estee Lauder,EL,Consumer Defensive,Household & Personal Products,11824,1249
259,State Street Corp.,STT,Financial Services,Asset Management,11774,2177
260,Tesla,TSLA,Consumer Cyclical,Auto Manufacturers,11758.8,-1961.4
261,Netflix,NFLX,Communication Services,Entertainment,11692.7,558.9
262,Alcoa,AA,Basic Materials,Aluminum,11652,217
263,Discover Financial Services,DFS,Financial Services,Credit Services,11545,2099
264,Praxair,PX,Basic Materials,Asset Management,11437,1247
265,CSX,CSX,Industrials,Railroads,11408,5471
266,Xcel Energy,XEL,Utilities,Utilities - Regulated Electric,11404,1148
267,Unum Group,UNM,Financial Services,Insurance - Life,11286.8,994.2
268,Universal Health Services,UHS,Healthcare,Medical Care Facilities,11278.9,752.3
269,NRG Energy,NRG,Utilities,Utilities - Independent Power Producers,11275,-2153
270,EOG Resources,EOG,Energy,Oil & Gas E&P,11208.3,2582.6
271,Sempra Energy,SRE,Utilities,Utilities - Diversified,11207,256
272,Toys “R” Us,,Consumer Cyclical,,11146,-612
