Company,Industry
Erie Insurance Group,Financial Services
CommScope Holding,Technology
KLA,Technology
JetBlue Airways,Industrials
Motorola Solutions,Technology
Citizens Financial Group,Financial Services
Coterra Energy,Energy
Avery Dennison,Consumer Cyclical
PVH,Consumer Cyclical
GXO Logistics,Industrials
Polaris,Consumer Cyclical
Global Payments,Industrials
Arconic,Industrials
Vertex Pharmaceuticals,Healthcare
Commercial Metals,Basic Materials
Autoliv,Consumer Cyclical
Constellation Brands,Consumer Defensive
Hilton Worldwide Holdings,Consumer Cyclical
Foot Locker,Consumer Cyclical
Huntsman,Basic Materials
Burlington Stores,Consumer Cyclical
Hertz Global Holdings,Industrials
Masco,Industrials
Williams-Sonoma,Consumer Cyclical
Chipotle Mexican Grill,Consumer Cyclical
M&T Bank,Financial Services
LPL Financial Holdings,Financial Services
CMS Energy,Utilities
Campbell Soup,Consumer Defensive
Arthur J. Gallagher,Financial Services
Blackstone,Financial Services
Dover,Industrials
ODP,Consumer Cyclical
Packaging Corp. of America,Consumer Cyclical
Brighthouse Financial,Financial Services
Beacon Roofing Supply,Industrials
Airbnb,Consumer Cyclical
Boise Cascade,Basic Materials
Booz Allen Hamilton Holding,Industrials
Westinghouse Air Brake Technologies,Industrials
ON Semiconductor,Technology
Oshkosh,Industrials
Franklin Resources,Financial Services
Taylor Morrison Home,Consumer Cyclical
A-Mark Precious Metals,Financial Services
KeyCorp,Financial Services
ARKO,Consumer Cyclical
Lululemon athletica,Consumer Cyclical
Old Republic International,Financial Services
Zoetis,Healthcare
Marathon Oil,Energy
J.M. Smucker,Consumer Defensive
Huntington Bancshares,Financial Services
NGL Energy Partners,Energy
Ingredion,Consumer Defensive
Fortune Brands Innovations,Industrials
PPL,Utilities
Sanmina,Technology
Bed Bath & Beyond,Consumer Cyclical
Cintas,Industrials
NCR,Technology
ABM Industries,Industrials
Rockwell Automation,Industrials
Northern Trust,Financial Services
XPO,Industrials
Science Applications International,Technology
Ameren,Utilities
First American Financial,Financial Services
Bath & Body Works,Consumer Cyclical
Regions Financial,Financial Services
Activision Blizzard,Communication Services
Avantor,Basic Materials
Genworth Financial,Financial Services
EQT,Energy
Skechers U.S.A.,Consumer Cyclical
Landstar System,Industrials
Knight-Swift Transportation Holdings,Industrials
SVB Financial Group,Financial Services
Par Pacific Holdings,Energy
Albemarle,Basic Materials
Vulcan Materials,Basic Materials
Watsco,Industrials
KKR,Financial Services
Equinix,Real Estate
Sonoco Products,Consumer Cyclical
ServiceNow,Technology
Robert Half International,Industrials
Intl. Business Machines,Technology
Texaco,Energy
ChevronTexaco,Energy
Amoco,Energy
Atlantic Richfield,Energy
Chrysler,Consumer Cyclical
Shell Oil,Energy
United Technologies,Industrials
Tenneco Automotive,Consumer Cyclical
Sunoco,Energy
Nabisco Group Holdings,Consumer Defensive
BP America,Energy
ITT Industries,Industrials
Beatrice,Consumer Defensive
Dow Chemical,Basic Materials
McDonnell Douglas,Industrials
Unocal,Energy
CBS,Communication Services
Eastman Kodak,Industrials
Kraft,Consumer Defensive
Honeywell Intl.,Industrials
General Foods,Consumer Defensive
Union Carbide,Basic Materials
Xerox,Technology
LTV,Technology
Sara Lee,Consumer Defensive
Ashland,Basic Materials
Amerada Hess,Energy
Sealed Air,Consumer Cyclical
Coastal,Financial Services
Anheuser-Busch,Consumer Defensive
Monsanto,Basic Materials
Georgia-Pacific,Basic Materials
Digital Equipment,Technology
Honeywell,Industrials
TRW,Industrials
Hewlett-Packard,Technology
Raytheon,Industrials
Ralston Purina,Consumer Defensive
Champion International,Basic Materials
Costco,Consumer Defensive
Verizon,Communication Services
Fortive,Technology
Ralph Lauren,Consumer Cyclical
Spectrum Brands Holdings,Consumer Defensive
Ascena Retail Group,Consumer Cyclical
Casey’s General Stores,Consumer Cyclical
HD Supply Holdings,Industrials
Hanesbrands,Consumer Cyclical
Alleghany,Financial Services
Apache,Energy
Dillard’s,Consumer Cyclical
TreeHouse Foods,Consumer Cyclical
Wynn Resorts,Consumer Cyclical
American Axle & Manufacturing,Consumer Cyclical
Chemours,Basic Materials
iHeartMedia,Communication Services
Sealed Air,Consumer Cyclical
Realogy Holdings,Real Estate
AK Steel Holding,Basic Materials
Securian Financial Group,Financial Services
Conduent,Technology
M&T Bank Corp.,Financial Services
Clorox,Consumer Defensive
AmTrust Financial Services,Financial Services
Yum Brands,Consumer Cyclical
Windstream Holdings,Communication Services
Magellan Health,Healthcare
Western & Southern Financial,Financial Services
Wyndham Destinations,Consumer Cyclical
Booz Allen Hamilton,Industrials
Cincinnati Financial,Financial Services
Avon Products,Consumer Defensive
Harley-Davidson,Consumer Cyclical
Patterson,Healthcare
Peabody Energy,Energy
Simon Property Group,Real Estate
Western Union,Financial Services
NetApp,Technology
Polaris Industries,Consumer Cyclical
Vistra Energy,Utilities
Anadarko Petroleum,Energy
Estee Lauder,Consumer Defensive
State Street Corp.,Financial Services
Praxair,Basic Materials
Sempra Energy,Utilities
Toys “R” Us,Consumer Cyclical
L3 Technologies,Industrials
Office Depot,Consumer Cyclical
salesforce.com,Technology
Jacobs Engineering Group,Industrials
SunTrust Banks,Financial Services
Voya Financial,Financial Services
eBay,Consumer Cyclical
Tenneco,Consumer Cyclical
GameStop,Consumer Cyclical
Frontier Communications,Communication Services
O’Reilly Automotive,Consumer Cyclical
Calpine,Utilities
Peter Kiewit Sons’,Industrials
Dick’s Sporting Goods,Consumer Cyclical
Veritiv,Industrials
Univar,Basic Materials
Westlake Chemical,Basic Materials
Anixter International,Industrials
Zimmer Biomet Holdings,Healthcare
Alliance Data Systems,Financial Services
Coty,Consumer Defensive
National Oilwell Varco,Energy
Adobe Systems,Technology
LifePoint Health,Healthcare
Blackstone Group,Financial Services
Spirit AeroSystems Holdings,Industrials
Expeditors Intl. of Washington,Industrials
Discovery,Financial Services
American Financial Group,Financial Services
Rockwell Collins,Industrials
Kindred Healthcare,Healthcare
Dr Pepper Snapple Group,Consumer Defensive
Anthem,Healthcare
DuPont de Nemours,Basic Materials
IBM,Technology
Facebook,Communication Services
Cigna,Healthcare
AIG,Financial Services
United Continental Holdings,Industrials
Tech Data,Technology
USAA,Financial Services
Twenty-First Century Fox,Communication Services
INTL FCStone,Financial Services
CenturyLink,Communication Services
WellCare Health Plans,Healthcare
Synnex,Technology
PNC Financial Services,Financial Services
Hartford Financial Services,Financial Services
HollyFrontier,Energy
XPO Logistics,Industrials
Supervalu,Consumer Defensive
Celgene,Healthcare
Las Vegas Sands,Consumer Cyclical
ADP,Industrials
L Brands,Consumer Cyclical
BB&T Corp.,Financial Services
Viacom,Communication Services
Core-Mark Holding,Consumer Defensive
J.C. Penney,Consumer Cyclical
First Data,Financial Services
Jefferies Financial Group,Financial services
Newmont Goldcorp,Basic Materials
Dillard's,Consumer Cyclical
Post Holdings,Consumer Defensive
Tapestry,Consumer Cyclical
Navient,Financial Services
Bank of America Corp.,Financial Services
Express Scripts Holding,Healthcare
State Farm Insurance Cos.,Financial Services
Lowe’s,Consumer Cyclical
UPS,Industrials
DowDuPont,Basic Materials
Aetna,Healthcare
Albertsons Cos.,Consumer Defensive
Disney,Communication Services
Energy Transfer Equity,Energy
Andeavor,Energy
Travelers Cos.,Financial Services
Macy’s,Consumer Cyclical
McDonald’s,Consumer Cyclical
Kohl’s,Consumer Cyclical
PG&E Corp.,Utilities
Sears Holdings,Consumer Cyclical
Envision Healthcare,Healthcare
Land O’Lakes,Consumer Defensive
J.P. Morgan Chase,Financial Services
HCA Holdings,Healthcare
Staples,Consumer Defensive
Whole Foods Market,Consumer Defensive
Reynolds American,Consumer Cyclical
Leucadia National,Financial Services
Priceline Group,Consumer Cyclical
Liberty Interactive,Communication Services
CST Brands,Energy
Expedia,Consumer Cyclical
Level 3 Communications,Communication Services
Western Refining,Energy
Computer Sciences,Technology
Harman International Industries,Consumer Cyclical
Quintiles IMS Holdings,Healthcare
Discovery Communications,Communication Services
CalAtlantic Group,Real Estate
HRG Group,Financial Services
St. Jude Medical,Healthcare
Terex,Industrials
Genesis Healthcare,Healthcare
Wyndham Worldwide,Consumer Cyclical
Symantec,Technology
Host Hotels & Resorts,Real Estate
Essendant,Industrials
Airgas,Basic Materials
Kelly Services,Industrials
CH2M Hill,Industrials
Big Lots,Consumer Defensive
Michaels Cos.,Consumer Cyclical
Yahoo,Communication Services
Ingram Micro,Technology
Tesoro,Basic Materials
EMC,Industrials
Time Warner Cable,Communication Services
Jabil Circuit,Technology
Health Net,Healthcare
Bank of New York Mellon Corp.,Financial Services
Principal Financial Group,Financial Services
Dominion Resources,Utilities
L-3 Communications,Industrials
Precision Castparts,Industrials
MasterCard,Financial Services
Cameron International,Energy
Jarden,Consumer Cyclical
Jones Financial,Financial Services
Coca-Cola European Partners,Consumer Defensive
Cablevision Systems,Communication Services
FMC Technologies,Energy
Baxalta,Healthcare
Barnes & Noble,Consumer Cyclical
Dana Holding,Consumer Cyclical
Starwood Hotels & Resorts,Real Estate
Lansing Trade Group,Basic Materials
SanDisk,Technology
Envision Healthcare Holdings,Healthcare
Visteon,Consumer Cyclical
Energy Future Holdings,Energy
NiSource,Utilities
Domtar,Basic Materials
Spectra Energy,Energy
Telephone & Data Systems,Communication Services
JP Morgan Chase,Financial Services
Walgreens,Healthcare
Safeway,Consumer Defensive
TIAA-CREF,Financial Services
DirecTV,Communication Services
US Foods,Consumer Defensive
Kraft Foods Group,Consumer Defensive
TRW Automotive Holdings,Consumer Cyclical
Chubb,Financial Services
DaVita HealthCare Partners,Healthcare
Family Dollar Stores,Consumer Defensive
Coca-Cola Enterprises,Consumer Defensive
Allergan,Healthcare
PetSmart,Consumer Cyclical
Agilent Technologies,Healthcare
Pantry,Consumer Defensive
Integrys Energy Group,Energy
Buckeye Partners,Energy
Omnicare,Healthcare
KBR,Industrials
TEGNA,Communication Services
General Cable,Industrials
MRC Global,Energy
Con-way,Industrials
Calumet Specialty Products Partners,Energy
MeadWestvaco,Basic Materials
AGL Resources,Energy
Quintiles Transnational Holdings,Healthcare
ARRIS Group,Communication Services
McGraw Hill Financial,Financial Services
Sperry,Technology
ConAgra Foods,Consumer Defensive
Motorola,Technology
Whitman,Consumer Defensive
Bethlehem Steel,Basic Materials
Unisys,Technology
Borden Chemical,Basic Materials
Fortune Brands,Industrials
Wyeth,Healthcare
Pillsbury,Consumer Defensive
Litton Industries,Industrials
Martin Marietta,Basic Materials
North American Philips,Industrials
Farmland Industries,Real Estate
Bestfoods,Consumer Defensive
Dresser Industries,Industrials
ARMCO,Basic Materials
Maxus Energy,Energy
Agway,Consumer Cyclical
H.J. Heinz,Consumer Defensive
American Motors,Consumer Cyclical
Firestone Tire & Rubber,Consumer Cyclical
Navistar International,Industrials
OfficeMax,Consumer Cyclical
Control Data,Technology
Eaton,Industrials
Owens-Illinois,Consumer Cyclical
American Cyanamid,Basic Materials
Quaker Oats,Consumer Defensive
Reynolds Metals,Consumer Cyclical
Time Warner,Communication Services
American Standard,Industrials
Kerr-McGee,Energy
FMC,Basic Materials
US Pharmaceuticals,Healthcare
Teledyne,Technology
Goodrich,Industrials
Chiquita Brands Intl.,Consumer Defensive
Warner-Lambert,Healthcare
Ryerson Tull,Basic Materials
Combustion Engineering,Industrials
Crown Zellerbach,Basic Materials
Cooper Industries,Healthcare
Scott Paper,Consumer Defensive
Grumman,Industrials
Avon Products,Consumer Defensive
GenCorp,Industrials
Times Mirror,Communication Services
Chesebrough-Pond's,Consumer Defensive
Staley Continental,Consumer Defensive
Sipco,Industrials
American Can,Consumer Cyclical
Burlington Industries Equity,Consumer Cyclical
Mead,Consumer Defensive
Kaisertech,Industrials
Ingersoll-Rand,Industrials
Furniture Brands Intl.,Consumer Cyclical
Hercules,Financial Services
Levi Strauss,Consumer Cyclical
BASF,Basic Materials
Fruehauf,Industrials
Penn Central,Industrials
USG,Basic Materials
Fort James,Consumer Defensive
Revlon,Consumer Defensive
Kidde,Industrials
Singer,Consumer Cyclical
FINA,Energy
Gillette,Consumer Defensive
Lear Siegler,Industrials
Wang Laboratories,Technology
Hanson Industries NA,Industrials
Harris,Energy
Engelhard,Basic Materials
Walter Industries,Basic Materials
Pennzoil,Consumer Defensive
Cabot,Basic Materials
Murphy Oil,Energy
Sunbeam/Oster,Consumer Cyclical
Safety-Kleen,Industrials
Gannett,Communication Services
Uniroyal,Technology
Pharmacia,Healthcare
Lever Brothers,Consumer Defensive
Mack Trucks,Industrials
Rohm & Haas,Basic Materials
Squibb,Healthcare
R.R. Donnelley & Sons,Industrials
Hershey Foods,Consumer Defensive
AMAX,Basic Materials
Quantum Chemical,Basic Materials
Thiokol,Industrials
White Consolidated Industries,Industrials
Tribune,Communication Services
Great Northern Nekoosa,Basic Materials
Schering-Plough,Healthcare
Aeroquip-Vickers,Industrials
Apple Computer,Technology
Mapco,Energy
Alumax,Basic Materials
Ogden,Industrials
Manville,Basic Materials
Hammermill Paper,Basic Materials
Union Camp,Basic Materials
J.P. Stevens,Consumer Cyclical
Sterling Drug,Healthcare
Coltec Industries,Industrials
Pitney Bowes,Industrials
Air Products & Chem.,Basic Materials
Anderson Clayton,Consumer Defensive
Koppers,Basic Materials
General Signal,Industrials
National Semiconductor,Technology
Johnson Controls,Industrials
Emhart,Industrials
Black & Decker,Industrials
Knight-Ridder,Communication Services
National Gypsum,Basic Materials
Westvaco,Basic Materials
Triangle Industries,Industrials
J.E. Seagram,Consumer Defensive
Armstrong Holdings,Industrials
Texas Oil & Gas,Energy
Hoechst Celanese,Basic Materials
Central Soya,Consumer Defensive
AMP,Financial Services
Imcera Group,Healthcare
Zenith Electronics,Technology
Marmon Group,Industrials
Mobay,Healthcare
CBI Industries,Industrials
Ethyl,Basic Materials
Fruit of the Loom,Consumer Cyclical
Brunswick,Consumer Cyclical
Wilson Foods,Consumer Defensive
Gould,Real Estate
Tosco,Energy
Gold Kist Holdings,Energy
McGraw-Hill,Communication Services
Crown Central,Energy
Monfort of Colorado,Consumer Defensive
Parker Hannifin,Industrials
Witco,Basic Materials
Tektronix,Technology
NL Industries,Industrials
Square D,Industrials
New York Times,Communication Services
Cyclops Industries,Healthcare
Farmers Union Central Exch.,Consumer Defensive
Pacific Resources,Energy
Fort Howard,Basic Materials
MID-AMERICA DAIRYMEN,Consumer Defensive
Amstar,Consumer Defensive
Applera,Healthcare
Polaroid,Consumer Cyclical
Sundstrand,Industrials
Molson Coors Brewing,Consumer Defensive
Fleetwood Enterprises,Consumer Cyclical
NVF,Industrials
Thomas J. Lipton,Consumer Defensive
Tyco Laboratories,Healthcare
Harsco,Industrials
Hughes Tool,Energy
Louisiana-Pacific,Industrials
Minstar,Industrials
Temple-Inland,Basic Materials
Data General,Technology
Stone Container,Basic Materials
Richardson-Vicks,Healthcare
Hasbro,Consumer Cyclical
Louisiana Land & Exploration,Financial Services
Intl. Multifoods,Consumer Defensive
Stanley Works,Industrials
WestPoint Stevens,Consumer Cyclical
Norton,Basic Materials
National Service Industries,Industrials
Miles Laboratories,Healthcare
G. Heileman Brewing,Consumer Defensive
Asarco,Consumer Cyclical
Weirton Steel,Basic Materials
PerkinElmer,Healthcare
Willamette Industries,Basic Materials
Ex-Cell-O,Industrials
Inspiration Resources,Energy
Certainteed,Basic Materials
Hartmarx,Consumer Cyclical
Rexnord,Industrials
Crane,Industrials
Timken,Industrials
Washington Post,Communication Services
Magic Chef,Consumer Cyclical
Clorox,Consumer Defensive
Pennwalt Corp,Basic Materials
Mattel,Consumer Cyclical
Triarc,Consumer Cyclical
Collins & Aikman,Consumer Cyclical
Dow Jones,Communication Services
Dean Foods,Consumer Defensive
Brockway,Basic Materials
Capital Cities/ABC,Communication Services
Springs Industries,Consumer Cyclical
General Instrument,Technology
Quaker State,Consumer Defensive
Varian Associates,Healthcare
General Cinema,Consumer Cyclical
Clark Equipment,Industrials
Cluett Peabody,Consumer Cyclical
Allis-Chalmers,Industrials
Potlatch,Real Estate
E-SYSTEMS,Industrials
Lafarge,Basic Materials
A.O. Smith,Industrials
Gerber Products,Consumer Defensive
Brown-Forman,Consumer Defensive
Metromedia International,Communication Services
Idle Wild Foods,NaN
CF Industries,Basic Materials
American Greetings,Consumer Cyclical
Sheller-Globe,Consumer Cyclical
Fairchild Industries,Basic Materials
Chromalloy American,Industrials
