rank,company,revenue ($ millions),profit ($ millions),Sector
195,FirstEnergy,14950.0,392.0,Utilities
196,Starbucks,14892.0,8.0,Consumer Cyclical
197,Monsanto,14861.0,2482.0,Basic Materials
198,Kellogg,14792.0,1807.0,Consumer Defensive
199,Land O'Lakes,14681.0,306.0,Consumer Defensive
200,Oneok,14603.0,267.0,Energy
201,Omnicom Group,14585.0,991.0,Communication Services
202,Anadarko Petroleum,14581.0,801.0,Energy
203,EOG Resources,14487.0,2197.0,Energy
204,DISH Network,14408.0,808.0,Communication Services
205,Genuine Parts,14078.0,685.0,Consumer Cyclical
206,Kinder Morgan,14070.0,1193.0,Energy
207,Waste Management,13983.0,98.0,Industrials
208,Chubb,13947.0,2345.0,Financial Services
209,Aramark Holdings,13946.0,69.0,Industrials
210,Viacom,13794.0,2395.0,Communication Services
211,Las Vegas Sands,13770.0,2306.0,Consumer Cyclical
212,Dominion Resources,13424.0,1697.0,Utilities
213,Ecolab,13253.0,968.0,Basic Materials
214,Smithfield Foods,13221.0,184.0,Consumer Defensive
215,Thermo Fisher Scientific,13090.0,1273.0,Healthcare
216,Yum Brands,13084.0,1091.0,Consumer Cyclical
217,Parker-Hannifin,13016.0,948.0,Industrials
218,Whole Foods Market,12917.0,551.0,Consumer Defensive
219,Marriott International,12784.0,626.0,Consumer Cyclical
220,C.H. Robinson Worldwide,12752.0,416.0,Industrials
221,L-3 Communications,12629.0,778.0,Industrials
222,Edison International,12581.0,915.0,Utilities
223,"Toys ""R"" Us",12543.0,-1039.0,Consumer Cyclical
224,Nordstrom,12540.0,734.0,Consumer Cyclical
225,Consolidated Edison,12354.0,1062.0,Utilities
226,Marsh & McLennan,12261.0,1357.0,Financial Services
227,Texas Instruments,12205.0,2162.0,Technology
228,Textron,12104.0,498.0,Industrials
229,Tenet Healthcare,12081.0,-134.0,Healthcare
230,DaVita HealthCare Partners,12064.0,633.0,Healthcare
231,CSX,12026.0,1864.0,Industrials
232,Lincoln National,11969.0,1244.0,Financial Services
233,Praxair,11925.0,1755.0,Basic Materials
234,PPL,11860.0,1130.0,Utilities
235,J.C. Penney,11859.0,-1388.0,Consumer Cyclical
236,Peter Kiewit Sons',11826.0,500.0,Industrials
237,Jacobs Engineering Group,11818.0,423.0,Industrials
238,Visa,11778.0,4980.0,Financial Services
239,H.J. Heinz,11577.0,1013.0,Consumer Defensive
